account_id,acct_creation_date,statement_frequency,account_district,num_customers,credit_cards,loan_date,loan_amount,loan_payment,loan_term,loan_status,loan_default,max_withdrawal,min_withdrawal,max_balance,min_balance,credit_bank_transfer_other_txn_ct,credit_bank_transfer_other_txn_tot,credit_bank_transfer_other_avg_txn,credit_cash_other_txn_ct,credit_cash_other_txn_tot,credit_cash_other_avg_txn,credit_other_interest_credit_txn_ct,credit_other_interest_credit_txn_tot,credit_other_interest_credit_avg_txn,debit_bank_transfer_household_payment_txn_ct,debit_bank_transfer_household_payment_txn_tot,debit_bank_transfer_household_payment_avg_txn,debit_cash_statement_charge_txn_ct,debit_cash_statement_charge_txn_tot,debit_cash_statement_charge_avg_txn,debit_cash_other_txn_ct,debit_cash_other_txn_tot,debit_cash_other_avg_txn,debit_bank_transfer_loan_payment_txn_ct,debit_bank_transfer_loan_payment_txn_tot,debit_bank_transfer_loan_payment_avg_txn,debit_bank_transfer_insurance_payment_txn_ct,debit_bank_transfer_insurance_payment_txn_tot,debit_bank_transfer_insurance_payment_avg_txn,debit_bank_transfer_other_txn_ct,debit_bank_transfer_other_txn_tot,debit_bank_transfer_other_avg_txn,credit_bank_transfer_pension_benefit_txn_ct,credit_bank_transfer_pension_benefit_txn_tot,credit_bank_transfer_pension_benefit_avg_txn,debit_credit_card_other_txn_ct,debit_credit_card_other_txn_tot,debit_credit_card_other_avg_txn,debit_cash_household_payment_txn_ct,debit_cash_household_payment_txn_tot,debit_cash_household_payment_avg_txn,debit_cash_negative_balance_charge_txn_ct,debit_cash_negative_balance_charge_txn_tot,debit_cash_negative_balance_charge_avg_txn,debit_cash_insurance_payment_txn_ct,debit_cash_insurance_payment_txn_tot,debit_cash_insurance_payment_avg_txn,pmt_order_ct,pmt_order_avg_amt,owner_client_id,gender,birth_date,owner_district
1,1995-03-24,monthly,Pisek,1,1,,,,,,,7500,15,30415,1000,45,165555,3679,12,25700,2141.6666666666665,45,3067,68.15555555555555,40,98080,2452,40,600,15,57,82190,1441.9298245614036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2452,1,F,1970-12-13,Pisek
2,1993-02-26,monthly,Hl.m. Praha,2,2,1994-01-05,80952,3373,24,expired,FALSE,42000,15,69302,1100,70,1537936,21970.514285714286,12,48400,4033.3333333333335,70,10719,153.12857142857143,65,472290,7266,65,975,15,172,1000242,5815.360465116279,24,80952,3373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5319.35,2,M,1945-02-04,Hl.m. Praha
3,1997-07-07,monthly,Kolin,2,2,,,,,,,7400,15,53447,1000,0,0,0,28,170989,6106.75,18,2073,115.16666666666667,13,14755,1135,13,195,15,19,56760,2987.3684210526317,0,0,0,13,46007,3539,13,4251,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1667,4,M,1956-12-01,Kolin
4,1996-02-21,monthly,Pribram,1,,,,,,,,5250,15,34870,800,0,0,0,1,800,800,30,2747,91.56666666666666,29,60262,2078,29,435,15,33,59390,1799.6969696969697,0,0,0,0,0,0,30,38550,1285,34,188802,5553,0,0,0,0,0,0,0,0,0,0,0,0,2,1681.5,6,M,1919-09-22,Pribram
5,1997-05-30,monthly,Cesky Krumlov,1,1,,,,,,,5100,15,32036,600,0,0,0,1,600,600,15,1566,104.4,14,37352,2668,14,210,15,21,31840,1516.1904761904761,0,0,0,0,0,0,0,0,0,19,95323,5017,0,0,0,0,0,0,0,0,0,0,0,0,1,2668,7,M,1929-01-25,Cesky Krumlov
6,1994-09-27,monthly,Trutnov,1,1,,,,,,,11600,15,51879,900,0,0,0,1,900,900,47,6597,140.36170212765958,47,185838,3954,46,690,15,54,113440,2100.740740740741,0,0,0,0,0,0,0,0,0,51,340119,6669,0,0,0,0,0,0,0,0,0,0,0,0,1,3954,8,F,1938-02-21,Trutnov
7,1996-11-24,monthly,Prostejov,1,1,,,,,,,25800,15,99675,900,0,0,0,26,623775,23991.346153846152,25,6492,259.68,20,97600,4880,20,300,15,38,457980,12052.105263157895,0,0,0,0,0,0,0,0,0,0,0,0,1,5900,5900,0,0,0,0,0,0,0,0,0,1,4880,9,M,1935-10-16,Prostejov
8,1995-09-21,monthly,Hodonin,2,2,,,,,,,40800,15,79255,900,0,0,0,45,885084,19668.533333333333,39,7681,196.94871794871796,35,91420,2612,34,510,15,67,500020,7462.985074626866,0,0,0,0,0,0,34,228208,6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4662,10,M,1943-05-01,Hodonin
9,1993-01-27,monthly,Karvina,1,1,,,,,,,38100,15,85444,400,0,0,0,112,352557,3147.8303571428573,71,7596,106.98591549295774,0,0,0,67,1005,15,111,335300,3020.7207207207207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
10,1996-08-28,monthly,Brno - mesto,1,1,,,,,,,23840,15,83410,1100,0,0,0,31,544423,17562.032258064515,28,5528,197.42857142857142,23,161759,7033,23,345,15,51,328560,6442.35294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4188.5,13,F,1974-05-29,Brno - mesto
