Year,Crop,N
2005,Rice,100
2005,Wheat,100
2005,Coarse Cereals,100
2005,Pulses,100
2005,Vegetables,100
2005,Fruits,100
2005,Milk,100
2005,"Eggs, Fish",100
2005,Oilseeds,100
2005,Sugarcane,100
2005,Fibers,100
2006,Rice,101
2006,Wheat,101
2006,Coarse Cereals,107
2006,Pulses,108
2006,Vegetables,109
2006,Fruits,99
2006,Milk,97
2006,"Eggs, Fish",102
2006,Oilseeds,86
2006,Sugarcane,96
2006,Fibers,92
2007,Rice,99
2007,Wheat,112
2007,Coarse Cereals,110
2007,Pulses,134
2007,Vegetables,103
2007,Fruits,99
2007,Milk,98
2007,"Eggs, Fish",101
2007,Oilseeds,85
2007,Sugarcane,91
2007,Fibers,91
2008,Rice,105
2008,Wheat,115
2008,Coarse Cereals,115
2008,Pulses,124
2008,Vegetables,118
2008,Fruits,98
2008,Milk,98
2008,"Eggs, Fish",100
2008,Oilseeds,97
2008,Sugarcane,87
2008,Fibers,96
2009,Rice,112
2009,Wheat,117
2009,Coarse Cereals,113
2009,Pulses,124
2009,Vegetables,113
2009,Fruits,102
2009,Milk,98
2009,"Eggs, Fish",99
2009,Oilseeds,104
2009,Sugarcane,80
2009,Fibers,109
2010,Rice,121
2010,Wheat,127
2010,Coarse Cereals,123
2010,Pulses,146
2010,Vegetables,124
2010,Fruits,104
2010,Milk,112
2010,"Eggs, Fish",116
2010,Oilseeds,103
2010,Sugarcane,81
2010,Fibers,107
2011,Rice,117
2011,Wheat,120
2011,Coarse Cereals,122
2011,Pulses,137
2011,Vegetables,128
2011,Fruits,114
2011,Milk,123
2011,"Eggs, Fish",133
2011,Oilseeds,99
2011,Sugarcane,109
2011,Fibers,138
2012,Rice,110
2012,Wheat,108
2012,Coarse Cereals,136
2012,Pulses,129
2012,Vegetables,115
2012,Fruits,119
2012,Milk,124
2012,"Eggs, Fish",137
2012,Oilseeds,102
2012,Sugarcane,107
2012,Fibers,140
