State ,Longitude,Latitude,
Andhra Pradesh,80.764801,15.89391,
Assam,92.537842,26.244156,
Bihar,85.51004,25.199699,
Chhattisgarh,81.828232,21.295132,
Goa,74.123993,15.299326,
Gujarat,72.13623,22.309425,
Haryana,76.431885,29.238478,
Jammu & Kashmir,71.60376,26.26461,
Karnataka,75.71389,15.317277,
Kerala,76.27108,10.850516,
Madhya Pradesh,77.947998,23.473324,
Maharashtra,75.552979,19.601194,
Manipur,93.950279,24.813967,
Nagaland,93.727592,25.906267,
NCT of Delhi,77.230003,28.610001,
Odisha,84.803467,20.94092,
Punjab,75.857277,30.900965,
Rajasthan,73.432617,27.391277,
Tamil Nadu,78.387451,11.059821,
Telangana,79.208824,17.123184,
Tripura,91.746826,23.745127,
Uttar Pradesh,79.82666,28.207609,
Uttarakhand,78.032188,30.316496,
West Bengal,87.747803,22.978624,
